Date,RubUSD,SP500
12/8/2010,31.128000,1228.280029
12/9/2010,31.030001,1233.000000
12/10/2010,30.927500,1240.400024
12/13/2010,30.921000,1240.459961
12/14/2010,30.688000,1241.589966
12/15/2010,30.714500,1235.229980
12/16/2010,30.805000,1242.869995
12/17/2010,30.719000,1243.910034
12/20/2010,30.664700,1247.079956
12/21/2010,30.837099,1254.599976
12/22/2010,30.726700,1258.839966
12/23/2010,30.635201,1256.770020
12/27/2010,30.447701,1257.540039
12/28/2010,30.350201,1258.510010
12/29/2010,30.347300,1259.780029
12/30/2010,30.443701,1257.880005
12/31/2010,30.552299,1257.640015
1/3/2011,30.425200,1271.869995
1/4/2011,30.425200,1270.199951
1/5/2011,30.425200,1276.560059
1/6/2011,30.425200,1273.849976
1/7/2011,30.425200,1271.500000
1/10/2011,30.425200,1269.750000
1/11/2011,30.425200,1274.479980
1/12/2011,30.548000,1285.959961
1/13/2011,30.090500,1283.760010
1/14/2011,29.937000,1293.239990
1/18/2011,29.976700,1295.020020
1/19/2011,29.888000,1281.920044
1/20/2011,29.828300,1280.260010
1/21/2011,29.250000,1283.349976
1/24/2011,29.919399,1290.839966
1/25/2011,29.834000,1291.180054
1/26/2011,29.701000,1296.630005
1/27/2011,29.705500,1299.540039
1/28/2011,29.586000,1276.339966
1/31/2011,29.678200,1286.119995
2/1/2011,29.785000,1307.589966
2/2/2011,29.612900,1304.030029
2/3/2011,29.434999,1307.099976
2/4/2011,29.436001,1310.869995
2/7/2011,29.388100,1319.050049
2/8/2011,29.257900,1324.569946
2/9/2011,29.253099,1320.880005
2/10/2011,29.240299,1321.869995
2/11/2011,29.307400,1329.150024
2/14/2011,29.292801,1332.319946
2/15/2011,29.277000,1328.010010
2/16/2011,29.318001,1336.319946
2/17/2011,29.206499,1340.430054
2/18/2011,29.231001,1343.010010
2/22/2011,29.135000,1315.439941
2/23/2011,29.274000,1307.400024
2/24/2011,29.181499,1306.099976
2/25/2011,28.993999,1319.880005
2/28/2011,28.924999,1327.219971
3/1/2011,28.858999,1306.329956
3/2/2011,28.736601,1308.439941
3/3/2011,28.379499,1330.969971
3/4/2011,28.159901,1321.150024
3/7/2011,28.194300,1310.130005
3/8/2011,28.183001,1321.819946
3/9/2011,28.181000,1320.020020
3/10/2011,28.355200,1295.109985
3/11/2011,28.604000,1304.280029
3/14/2011,28.735300,1296.390015
3/15/2011,28.525700,1281.869995
3/16/2011,28.818899,1256.880005
3/17/2011,28.631599,1273.719971
3/18/2011,28.647699,1279.209961
3/21/2011,28.468901,1298.380005
3/22/2011,28.296499,1293.770020
3/23/2011,28.234200,1297.540039
3/24/2011,28.331400,1309.660034
3/25/2011,28.315399,1313.800049
3/28/2011,27.721001,1310.189941
3/29/2011,28.322500,1319.439941
3/30/2011,28.350000,1328.260010
3/31/2011,28.517000,1325.829956
4/1/2011,28.409000,1332.410034
4/4/2011,28.406500,1332.869995
4/5/2011,28.276199,1332.630005
4/6/2011,28.334200,1335.540039
4/7/2011,28.133699,1333.510010
4/8/2011,28.191601,1328.170044
4/11/2011,28.032000,1324.459961
4/12/2011,28.024900,1314.160034
4/13/2011,28.038200,1314.410034
4/14/2011,28.093201,1314.520020
4/15/2011,null,1319.680054
4/18/2011,28.136499,1305.140015
4/19/2011,28.275200,1312.619995
4/20/2011,28.308701,1330.359985
4/21/2011,28.060200,1337.380005
4/25/2011,28.010000,1335.250000
4/26/2011,27.842501,1347.239990
4/27/2011,27.815701,1355.660034
4/28/2011,27.695200,1360.479980
4/29/2011,27.516199,1363.609985
5/2/2011,27.343100,1361.219971
5/3/2011,27.315201,1356.619995
5/4/2011,27.348700,1347.319946
5/5/2011,27.154900,1335.099976
5/6/2011,27.402800,1340.199951
5/9/2011,27.595200,1346.290039
5/10/2011,27.830200,1357.160034
5/11/2011,27.742500,1342.079956
5/12/2011,27.693701,1348.650024
5/13/2011,28.025200,1337.770020
5/16/2011,27.922501,1329.469971
5/17/2011,28.116501,1328.979980
5/18/2011,28.127300,1340.680054
5/19/2011,28.072701,1343.599976
5/20/2011,27.947001,1333.270020
5/23/2011,28.010000,1317.369995
5/24/2011,28.477800,1316.280029
5/25/2011,28.352501,1320.469971
5/26/2011,28.352400,1325.689941
5/27/2011,28.162500,1331.099976
5/31/2011,27.998301,1345.199951
6/1/2011,27.973700,1314.550049
6/2/2011,27.900200,1312.939941
6/3/2011,27.884600,1300.160034
6/6/2011,27.931200,1286.170044
6/7/2011,27.809999,1284.939941
6/8/2011,27.716000,1279.560059
6/9/2011,27.738701,1289.000000
6/10/2011,27.692699,1270.979980
6/13/2011,27.329000,1271.829956
6/14/2011,27.926500,1287.869995
6/15/2011,27.867500,1265.420044
6/16/2011,27.967501,1267.640015
6/17/2011,28.172701,1271.500000
6/20/2011,28.046000,1278.359985
6/21/2011,28.045099,1295.520020
6/22/2011,27.937700,1287.140015
6/23/2011,27.957701,1283.500000
6/24/2011,28.219999,1268.449951
6/27/2011,28.151699,1280.099976
6/28/2011,28.320000,1296.670044
6/29/2011,28.053900,1307.410034
6/30/2011,27.967699,1320.640015
7/1/2011,27.892700,1339.670044
7/5/2011,27.804501,1337.880005
7/6/2011,27.855200,1339.219971
7/7/2011,27.961800,1353.219971
7/8/2011,27.869801,1343.800049
7/11/2011,28.030701,1319.489990
7/12/2011,28.210100,1313.640015
7/13/2011,28.315001,1317.719971
7/14/2011,27.945900,1308.869995
7/15/2011,28.102100,1316.140015
7/18/2011,27.399000,1305.439941
7/19/2011,28.134899,1326.729980
7/20/2011,28.029100,1325.839966
7/21/2011,27.912100,1343.800049
7/22/2011,27.688400,1345.020020
7/25/2011,27.728001,1337.430054
7/26/2011,27.684500,1331.939941
7/27/2011,27.493000,1304.890015
7/28/2011,27.497601,1300.670044
7/29/2011,27.545300,1292.280029
8/1/2011,27.622000,1286.939941
8/2/2011,27.746500,1254.050049
8/3/2011,27.834700,1260.339966
8/4/2011,27.812901,1200.069946
8/5/2011,28.229401,1199.380005
8/8/2011,28.246500,1119.459961
8/9/2011,28.927700,1172.530029
8/10/2011,29.837500,1120.760010
8/11/2011,29.675200,1172.640015
8/12/2011,29.424400,1178.810059
8/15/2011,28.962601,1204.489990
8/16/2011,28.611401,1192.760010
8/17/2011,28.631399,1193.890015
8/18/2011,28.773199,1140.650024
8/19/2011,29.038401,1123.530029
8/22/2011,28.980200,1123.819946
8/23/2011,29.099600,1162.349976
8/24/2011,28.907000,1177.599976
8/25/2011,28.920401,1159.270020
8/26/2011,28.886200,1176.800049
8/29/2011,28.713200,1210.079956
8/30/2011,28.708200,1212.920044
8/31/2011,28.842899,1218.890015
9/1/2011,28.793100,1204.420044
9/2/2011,28.941601,1173.969971
9/6/2011,29.463900,1165.239990
9/7/2011,29.579700,1198.619995
9/8/2011,29.399401,1185.900024
9/9/2011,29.598200,1154.229980
9/12/2011,30.064199,1162.270020
9/13/2011,30.219601,1172.869995
9/14/2011,30.196600,1188.680054
9/15/2011,30.391199,1209.109985
9/16/2011,30.338301,1216.010010
9/19/2011,30.578501,1204.089966
9/20/2011,31.275200,1202.089966
9/21/2011,31.390200,1166.760010
9/22/2011,31.645201,1129.560059
9/23/2011,32.049099,1136.430054
9/26/2011,31.942699,1162.949951
9/27/2011,32.306099,1175.380005
9/28/2011,31.675200,1151.060059
9/29/2011,31.715200,1160.400024
9/30/2011,31.972700,1131.420044
10/3/2011,32.199100,1099.229980
10/4/2011,32.565201,1123.949951
10/5/2011,32.707699,1144.030029
10/6/2011,32.105499,1164.969971
10/7/2011,32.215199,1155.459961
10/10/2011,32.080299,1194.890015
10/11/2011,31.545200,1195.540039
10/12/2011,31.507700,1207.250000
10/13/2011,31.025200,1203.660034
10/14/2011,31.170200,1224.579956
10/17/2011,30.870199,1200.859985
10/18/2011,30.881500,1225.380005
10/19/2011,30.898001,1209.880005
10/20/2011,31.025000,1215.390015
10/21/2011,31.412399,1238.250000
10/24/2011,31.030001,1254.189941
10/25/2011,30.495001,1229.050049
10/26/2011,30.465200,1242.000000
10/27/2011,30.628700,1284.589966
10/28/2011,29.822701,1285.089966
10/31/2011,29.682501,1253.300049
11/1/2011,30.304001,1218.280029
11/2/2011,30.782499,1237.900024
11/3/2011,30.525200,1261.150024
11/4/2011,30.375200,1253.229980
11/7/2011,30.523899,1261.119995
11/8/2011,30.299900,1275.920044
11/9/2011,30.205200,1229.099976
11/10/2011,30.645201,1239.699951
11/11/2011,30.526501,1263.849976
11/14/2011,30.062500,1251.780029
11/15/2011,30.503700,1257.810059
11/16/2011,30.583700,1236.910034
11/17/2011,30.696199,1216.130005
11/18/2011,30.901199,1215.650024
11/21/2011,30.805201,1192.979980
11/22/2011,31.080000,1188.040039
11/23/2011,31.011200,1161.790039
11/25/2011,31.442499,1158.670044
11/28/2011,31.476200,1192.550049
11/29/2011,31.364201,1195.189941
11/30/2011,30.791000,1246.959961
12/1/2011,30.673700,1244.579956
12/2/2011,30.259701,1244.280029
12/5/2011,30.934999,1257.079956
12/6/2011,30.955500,1258.469971
12/7/2011,30.998501,1261.010010
12/8/2011,30.875999,1234.349976
12/9/2011,31.067499,1255.189941
12/12/2011,31.413700,1236.469971
12/13/2011,31.582500,1225.729980
12/14/2011,31.598700,1211.819946
12/15/2011,31.775000,1215.750000
12/16/2011,31.673700,1219.660034
12/19/2011,31.883699,1205.349976
12/20/2011,32.084702,1241.300049
12/21/2011,31.907700,1243.719971
12/22/2011,31.635000,1254.000000
12/23/2011,31.317499,1265.329956
12/27/2011,31.037500,1265.430054
12/28/2011,31.360201,1249.640015
12/29/2011,31.724501,1263.020020
12/30/2011,31.964199,1257.599976
1/3/2012,31.988701,1277.060059
1/4/2012,31.749001,1277.300049
1/5/2012,31.751301,1281.060059
1/6/2012,32.002602,1277.810059
1/9/2012,31.922899,1280.699951
1/10/2012,31.843800,1292.079956
1/11/2012,31.550200,1292.479980
1/12/2012,31.695200,1295.500000
1/13/2012,31.462700,1289.089966
1/17/2012,31.569000,1293.670044
1/18/2012,31.545200,1308.040039
1/19/2012,31.357500,1314.500000
1/20/2012,31.291201,1315.380005
1/23/2012,31.255600,1316.000000
1/24/2012,30.825199,1314.650024
1/25/2012,30.755199,1326.060059
1/26/2012,30.445200,1318.430054
1/27/2012,30.312700,1316.329956
1/30/2012,30.113600,1313.010010
1/31/2012,30.350000,1312.410034
2/1/2012,30.048201,1324.089966
2/2/2012,30.125200,1325.540039
2/3/2012,30.158600,1344.900024
2/6/2012,30.173401,1344.329956
2/7/2012,29.957500,1347.050049
2/8/2012,29.740200,1349.959961
2/9/2012,29.725201,1351.949951
2/10/2012,29.709200,1342.640015
2/13/2012,29.982201,1351.770020
2/14/2012,29.901199,1350.500000
2/15/2012,30.033199,1343.229980
2/16/2012,30.081200,1358.040039
2/17/2012,30.034201,1361.229980
2/21/2012,29.777201,1362.209961
2/22/2012,29.733200,1357.660034
2/23/2012,29.678200,1363.459961
2/24/2012,29.531200,1365.739990
2/27/2012,29.140200,1367.589966
2/28/2012,28.998199,1372.180054
2/29/2012,28.998199,1365.680054
3/1/2012,29.188200,1374.089966
3/2/2012,29.120199,1369.630005
3/5/2012,29.330200,1364.329956
3/6/2012,29.336201,1343.359985
3/7/2012,29.632200,1352.630005
3/8/2012,29.608200,1365.910034
3/9/2012,29.343201,1370.869995
3/12/2012,29.448200,1371.089966
3/13/2012,29.608200,1395.949951
3/14/2012,29.425200,1394.280029
3/15/2012,29.568199,1402.599976
3/16/2012,29.420200,1404.170044
3/19/2012,29.208200,1409.750000
3/20/2012,29.099199,1405.520020
3/21/2012,29.239201,1402.890015
3/22/2012,29.252001,1392.780029
3/23/2012,29.436199,1397.109985
3/26/2012,29.270201,1416.510010
3/27/2012,28.944000,1412.520020
3/28/2012,29.032200,1405.540039
3/29/2012,29.359200,1403.280029
3/30/2012,29.409201,1408.469971
4/2/2012,29.336201,1419.040039
4/3/2012,29.283199,1413.380005
4/4/2012,29.272200,1398.959961
4/5/2012,29.427200,1398.079956
4/9/2012,29.543200,1382.199951
4/10/2012,29.593201,1358.589966
4/11/2012,29.827200,1368.709961
4/12/2012,29.611200,1387.569946
4/13/2012,29.401199,1370.260010
4/16/2012,29.629200,1369.569946
4/17/2012,29.588200,1390.780029
4/18/2012,29.488001,1385.140015
4/19/2012,29.487200,1376.920044
4/20/2012,29.476200,1378.530029
4/23/2012,29.426001,1366.939941
4/24/2012,29.468201,1371.969971
4/25/2012,29.343201,1390.689941
4/26/2012,29.337200,1399.979980
4/27/2012,29.310200,1403.359985
4/30/2012,29.270201,1397.910034
5/1/2012,29.379200,1405.819946
5/2/2012,29.303200,1402.310059
5/3/2012,29.323000,1391.569946
5/4/2012,29.519199,1369.099976
5/7/2012,29.753201,1369.579956
5/8/2012,30.009001,1363.719971
5/9/2012,30.122200,1354.579956
5/10/2012,30.353201,1357.989990
5/11/2012,30.138201,1353.390015
5/14/2012,30.166201,1338.349976
5/15/2012,30.374201,1330.660034
5/16/2012,30.663200,1324.800049
5/17/2012,31.018200,1304.859985
5/18/2012,31.094200,1295.219971
5/21/2012,31.235201,1315.989990
5/22/2012,31.076200,1316.630005
5/23/2012,31.237101,1318.859985
5/24/2012,31.639200,1320.680054
5/25/2012,31.753201,1317.819946
5/29/2012,32.071201,1332.420044
5/30/2012,32.265202,1313.319946
5/31/2012,32.766201,1310.329956
6/1/2012,33.314701,1278.040039
6/4/2012,33.623699,1278.180054
6/5/2012,33.439201,1285.500000
6/6/2012,33.058601,1315.130005
6/7/2012,32.319199,1314.989990
6/8/2012,32.416199,1325.660034
6/11/2012,32.041199,1308.930054
6/12/2012,32.731201,1324.180054
6/13/2012,32.870201,1314.880005
6/14/2012,32.470001,1329.099976
6/15/2012,32.496700,1342.839966
6/18/2012,32.327999,1344.780029
6/19/2012,32.373699,1357.979980
6/20/2012,32.303200,1355.689941
6/21/2012,32.552200,1325.510010
6/22/2012,33.168701,1335.020020
6/25/2012,33.093201,1313.719971
6/26/2012,33.169800,1319.989990
6/27/2012,32.814701,1331.849976
6/28/2012,32.948299,1329.040039
6/29/2012,33.125900,1362.160034
7/2/2012,32.279202,1365.510010
7/3/2012,32.580002,1374.020020
7/5/2012,32.308201,1367.579956
7/6/2012,32.579201,1354.680054
7/9/2012,32.950199,1352.459961
7/10/2012,32.786800,1341.469971
7/11/2012,32.870701,1341.449951
7/12/2012,32.663200,1334.760010
7/13/2012,32.737999,1356.780029
7/16/2012,32.523201,1353.640015
7/17/2012,32.492298,1363.670044
7/18/2012,32.332100,1372.780029
7/19/2012,32.209202,1376.510010
7/20/2012,31.820200,1362.660034
7/23/2012,32.034199,1350.520020
7/24/2012,32.617100,1338.310059
7/25/2012,32.916302,1337.890015
7/26/2012,32.651901,1360.020020
7/27/2012,32.280102,1385.969971
7/30/2012,32.026901,1385.300049
7/31/2012,32.158199,1379.319946
8/1/2012,32.199200,1375.319946
8/2/2012,32.400200,1365.000000
8/3/2012,32.628101,1390.989990
8/6/2012,32.019798,1394.229980
8/7/2012,31.574200,1401.349976
8/8/2012,31.532801,1402.219971
8/9/2012,31.506201,1402.800049
8/10/2012,31.668200,1405.869995
8/13/2012,31.801001,1404.109985
8/14/2012,31.833200,1403.930054
8/15/2012,31.815100,1405.530029
8/16/2012,31.785200,1415.510010
8/17/2012,31.780199,1418.160034
8/20/2012,31.986200,1418.130005
8/21/2012,31.982201,1413.170044
8/22/2012,31.747999,1413.489990
8/23/2012,31.625299,1402.079956
8/24/2012,31.750000,1411.130005
8/27/2012,31.767200,1410.439941
8/28/2012,31.857201,1409.300049
8/29/2012,31.966999,1410.489990
8/30/2012,32.198002,1399.479980
8/31/2012,32.537201,1406.579956
